Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 1
Load: open
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 0.020
overCurrentLimit: 0.020
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-04-15 16:36:36.184772
endTime: 2018-04-17 03:41:47.075619
elapsedTime: 1 day, 11:05:10.890847
DP832 Initial System Temp: 28.90C
DP832 Ending System Temp: 31.54C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.000,0.0033,-2.26405561E-03,-2.28388203E-03,-2.25466297E-03,+1.01740440E-05
0.001,0.0044,-1.23433184E-03,-1.24214598E-03,-1.22636097E-03,+3.65663606E-06
0.002,0.0055,-2.18445139E-04,-2.30151422E-04,-2.08880841E-04,+5.89702534E-06
0.003,0.0064,+8.31616294E-04,+8.14346074E-04,+8.48864123E-04,+1.15248881E-05
0.004,0.0075,+1.87724076E-03,+1.86962813E-03,+1.88171877E-03,+3.75823070E-06
0.005,0.0081,+2.41331538E-03,+2.40023584E-03,+2.42090935E-03,+7.72896349E-06
0.006,0.0089,+3.45471932E-03,+3.44204653E-03,+3.47040730E-03,+9.65199403E-06
0.007,0.0107,+5.00394159E-03,+4.98588025E-03,+5.01580833E-03,+1.24285369E-05
0.008,0.0112,+5.51748432E-03,+5.50428537E-03,+5.52954885E-03,+8.16097464E-06
0.009,0.0123,+6.54256962E-03,+6.53523686E-03,+6.54762604E-03,+3.99322120E-06
0.010,0.0132,+7.57708487E-03,+7.56432252E-03,+7.58473481E-03,+7.57847348E-06
0.011,0.0143,+8.61994416E-03,+8.61199194E-03,+8.62531404E-03,+3.93519689E-06
0.012,0.0152,+9.64903727E-03,+9.64070443E-03,+9.65749699E-03,+6.36303689E-06
0.013,0.0162,+1.06599347E-02,+1.06553858E-02,+1.06639313E-02,+3.24138756E-06
0.014,0.0174,+1.16887368E-02,+1.16836878E-02,+1.16935021E-02,+3.55267198E-06
0.015,0.0183,+1.27237110E-02,+1.27129600E-02,+1.27346038E-02,+6.64059833E-06
0.016,0.0196,+1.37381162E-02,+1.37357018E-02,+1.37417845E-02,+1.94298776E-06
0.017,0.0205,+1.47859424E-02,+1.47668399E-02,+1.48038209E-02,+1.09278433E-05
0.018,0.0215,+1.58453256E-02,+1.58389892E-02,+1.58517888E-02,+4.29058284E-06
0.019,0.0226,+1.68928047E-02,+1.68784862E-02,+1.69118848E-02,+1.20693321E-05
0.020,0.0236,+1.79227785E-02,+1.79106692E-02,+1.79296261E-02,+4.92288494E-06
0.021,0.0246,+1.89543867E-02,+1.89390458E-02,+1.89651302E-02,+9.85897748E-06
0.022,0.0256,+1.99922792E-02,+1.99787667E-02,+2.00051497E-02,+1.00066741E-05
0.023,0.0266,+2.10013406E-02,+2.09932988E-02,+2.10115094E-02,+4.78366711E-06
0.024,0.0272,+2.15058751E-02,+2.14961055E-02,+2.15126369E-02,+4.69111925E-06
0.025,0.0281,+2.25396477E-02,+2.25307887E-02,+2.25501188E-02,+5.18285212E-06
0.026,0.0292,+2.35564263E-02,+2.35420742E-02,+2.35687931E-02,+8.83627378E-06
0.027,0.0303,+2.45696598E-02,+2.45618680E-02,+2.45767947E-02,+4.55059479E-06
0.028,0.0313,+2.56377116E-02,+2.56341292E-02,+2.56414806E-02,+2.58716127E-06
0.029,0.0324,+2.66216813E-02,+2.66153001E-02,+2.66325778E-02,+4.51135379E-06
0.030,0.0333,+2.76563234E-02,+2.76447589E-02,+2.76619246E-02,+5.03449125E-06
0.031,0.0344,+2.86692434E-02,+2.86608956E-02,+2.86805243E-02,+5.98566857E-06
0.032,0.0354,+2.97249023E-02,+2.97157299E-02,+2.97341271E-02,+4.92592629E-06
0.033,0.0363,+3.07212313E-02,+3.07126484E-02,+3.07308217E-02,+5.83981241E-06
0.034,0.0374,+3.17518246E-02,+3.17393831E-02,+3.17633032E-02,+6.13321260E-06
