Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 2
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 1.000
overCurrentLimit: OFF
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-03-24 01:06:07.348788
endTime: 2018-03-24 06:54:58.846738
elapsedTime: 5:48:51.497950
DP832 Initial System Temp: 28.32C
DP832 Ending System Temp: 27.48C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.000,0.0000,-9.48657854E-03,-9.49789300E-03,-9.47035319E-03,+8.52859821E-06
0.001,0.0000,-8.50101175E-03,-8.51567726E-03,-8.48623430E-03,+9.96274951E-06
0.002,0.0000,-7.44306155E-03,-7.45128990E-03,-7.42934762E-03,+5.51057592E-06
0.003,0.0000,-6.38061093E-03,-6.39070886E-03,-6.36510953E-03,+8.40787053E-06
0.004,0.0000,-5.36598181E-03,-5.37934869E-03,-5.34434552E-03,+9.67258324E-06
0.005,0.0008,-4.30036300E-03,-4.30977430E-03,-4.29253393E-03,+5.75288696E-06
0.006,0.0018,-3.29240612E-03,-3.30345190E-03,-3.28255448E-03,+5.58888213E-06
0.007,0.0028,-2.26805224E-03,-2.28332228E-03,-2.24589352E-03,+1.38391117E-05
0.008,0.0039,-1.24980339E-03,-1.25845342E-03,-1.23930990E-03,+6.51173086E-06
0.009,0.0049,-1.76277144E-04,-1.97909699E-04,-1.56861209E-04,+1.27100971E-05
0.010,0.0059,+8.47113965E-04,+8.19309210E-04,+8.65843271E-04,+1.39428150E-05
0.011,0.0069,+1.85677995E-03,+1.84309588E-03,+1.87052373E-03,+6.75013636E-06
0.012,0.0079,+2.89689272E-03,+2.88486925E-03,+2.91323002E-03,+9.24107369E-06
0.013,0.0089,+3.91499604E-03,+3.90171499E-03,+3.93197892E-03,+8.92403157E-06
0.014,0.0099,+4.95778069E-03,+4.94815296E-03,+4.96464699E-03,+5.83835765E-06
0.015,0.0110,+5.98505648E-03,+5.96805868E-03,+6.00563670E-03,+1.44749133E-05
0.016,0.0120,+6.96826112E-03,+6.94728907E-03,+6.98311321E-03,+1.32900243E-05
0.017,0.0130,+7.97507983E-03,+7.96775454E-03,+7.98581588E-03,+5.26233306E-06
0.018,0.0140,+9.02454420E-03,+9.00997572E-03,+9.03665723E-03,+8.22458078E-06
0.019,0.0151,+1.00413937E-02,+1.00224927E-02,+1.00662280E-02,+1.17238850E-05
0.020,0.0162,+1.10572542E-02,+1.10432194E-02,+1.10747894E-02,+9.01536505E-06
0.021,0.0172,+1.20848995E-02,+1.20737977E-02,+1.20986134E-02,+6.97988452E-06
0.022,0.0181,+1.31205454E-02,+1.31071748E-02,+1.31315800E-02,+8.22892848E-06
0.023,0.0192,+1.41567772E-02,+1.41492467E-02,+1.41698829E-02,+6.65242231E-06
0.024,0.0203,+1.51869190E-02,+1.51771755E-02,+1.51966176E-02,+7.03463826E-06
0.025,0.0213,+1.62211469E-02,+1.62143216E-02,+1.62296588E-02,+5.45439649E-06
0.026,0.0222,+1.72558375E-02,+1.72345632E-02,+1.72675886E-02,+1.07595493E-05
0.027,0.0233,+1.82624734E-02,+1.82415946E-02,+1.82822326E-02,+1.28785305E-05
0.028,0.0243,+1.92981268E-02,+1.92837038E-02,+1.93101615E-02,+9.05487979E-06
0.029,0.0254,+2.03219620E-02,+2.03006615E-02,+2.03337989E-02,+1.00439882E-05
0.030,0.0264,+2.13386137E-02,+2.13270604E-02,+2.13472115E-02,+5.72080687E-06
0.031,0.0276,+2.23860219E-02,+2.23783869E-02,+2.23958884E-02,+4.96154173E-06
0.032,0.0285,+2.34473791E-02,+2.34329972E-02,+2.34601265E-02,+7.46595869E-06
0.033,0.0295,+2.44834840E-02,+2.44720838E-02,+2.45044748E-02,+9.82204017E-06
0.034,0.0301,+2.50017623E-02,+2.49806746E-02,+2.50175062E-02,+1.16992864E-05
0.035,0.0316,+2.65488090E-02,+2.65338002E-02,+2.65618624E-02,+8.58712897E-06
0.036,0.0321,+2.70775994E-02,+2.70572057E-02,+2.70914626E-02,+9.25386528E-06
0.037,0.0330,+2.81160926E-02,+2.80953967E-02,+2.81443937E-02,+1.57630126E-05
0.038,0.0340,+2.91164219E-02,+2.90994428E-02,+2.91295201E-02,+8.07527479E-06
0.039,0.0352,+3.00982794E-02,+3.00885994E-02,+3.01166244E-02,+9.66133852E-06
0.040,0.0367,+3.16544799E-02,+3.16462031E-02,+3.16636673E-02,+5.02913203E-06
0.041,0.0373,+3.21906926E-02,+3.21771093E-02,+3.21992755E-02,+6.22596048E-06
0.042,0.0383,+3.32378844E-02,+3.32250400E-02,+3.32487734E-02,+7.19827232E-06
0.043,0.0393,+3.42709294E-02,+3.42642011E-02,+3.42793518E-02,+4.61233502E-06
0.044,0.0403,+3.52913687E-02,+3.52747777E-02,+3.53139976E-02,+1.34460103E-05
0.045,0.0414,+3.63084906E-02,+3.62908397E-02,+3.63195737E-02,+9.13704194E-06
0.046,0.0422,+3.73051032E-02,+3.72924229E-02,+3.73183208E-02,+7.08859881E-06
0.047,0.0433,+3.83253970E-02,+3.83162096E-02,+3.83380399E-02,+6.93602547E-06
0.048,0.0443,+3.93653344E-02,+3.93465640E-02,+3.93804477E-02,+1.16185153E-05
0.049,0.0453,+4.03902928E-02,+4.03604617E-02,+4.04104289E-02,+1.56057827E-05
0.050,0.0463,+4.14317937E-02,+4.14152960E-02,+4.14466421E-02,+1.17616338E-05
0.051,0.0474,+4.24663650E-02,+4.24448294E-02,+4.24778175E-02,+1.09523208E-05
0.052,0.0485,+4.34884948E-02,+4.34745495E-02,+4.35038805E-02,+1.00212977E-05
0.053,0.0494,+4.45031911E-02,+4.44940074E-02,+4.45066578E-02,+4.37602092E-06
0.054,0.0505,+4.55474460E-02,+4.55318998E-02,+4.55577604E-02,+7.75777257E-06
0.055,0.0516,+4.65809947E-02,+4.65650903E-02,+4.65903911E-02,+8.22299924E-06
0.056,0.0528,+4.76292090E-02,+4.76081325E-02,+4.76371276E-02,+8.40466674E-06
0.057,0.0535,+4.86570483E-02,+4.86518090E-02,+4.86655416E-02,+4.04043692E-06
0.058,0.0546,+4.96680875E-02,+4.96595867E-02,+4.96807080E-02,+7.72502670E-06
0.059,0.0556,+5.07195670E-02,+5.07069576E-02,+5.07415876E-02,+1.01382904E-05
0.060,0.0567,+5.17506901E-02,+5.17145861E-02,+5.17808235E-02,+2.06935840E-05
0.061,0.0578,+5.27821305E-02,+5.27727789E-02,+5.27919970E-02,+5.57331761E-06
0.062,0.0589,+5.38066336E-02,+5.37991777E-02,+5.38119028E-02,+3.42903910E-06
0.063,0.0598,+5.48357603E-02,+5.48150905E-02,+5.48522208E-02,+1.13573567E-05
0.064,0.0609,+5.58690292E-02,+5.58608195E-02,+5.58772389E-02,+5.22379368E-06
0.065,0.0617,+5.69114631E-02,+5.68979656E-02,+5.69231171E-02,+7.82886832E-06
0.066,0.0629,+5.79929863E-02,+5.79812352E-02,+5.80048568E-02,+6.47997446E-06
0.067,0.0639,+5.90286248E-02,+5.90102089E-02,+5.90443538E-02,+1.03293475E-05
0.068,0.0651,+6.00471237E-02,+6.00338837E-02,+6.00620952E-02,+9.33018438E-06
0.069,0.0660,+6.11037641E-02,+6.10899867E-02,+6.11171906E-02,+9.72886939E-06
0.070,0.0671,+6.21231921E-02,+6.21061234E-02,+6.21414997E-02,+1.13303346E-05
0.071,0.0682,+6.31982409E-02,+6.31819670E-02,+6.32111115E-02,+8.74928315E-06
0.072,0.0692,+6.41943795E-02,+6.41742583E-02,+6.42315396E-02,+1.88434576E-05
0.073,0.0701,+6.52465941E-02,+6.52338691E-02,+6.52726413E-02,+1.27324714E-05
0.074,0.0712,+6.62589059E-02,+6.62515731E-02,+6.62753813E-02,+6.96344570E-06
0.075,0.0722,+6.72931599E-02,+6.72817037E-02,+6.73049520E-02,+6.25784087E-06
0.076,0.0733,+6.83249287E-02,+6.83141478E-02,+6.83409040E-02,+8.62208018E-06
0.077,0.0743,+6.93578766E-02,+6.93475622E-02,+6.93791696E-02,+9.82896997E-06
0.078,0.0753,+7.03875519E-02,+7.03726923E-02,+7.04032175E-02,+8.42759952E-06
0.079,0.0763,+7.14128312E-02,+7.14070396E-02,+7.14209588E-02,+4.36928048E-06
0.080,0.0774,+7.24387673E-02,+7.24278036E-02,+7.24456038E-02,+5.55433585E-06
0.081,0.0784,+7.34851232E-02,+7.34737565E-02,+7.34972288E-02,+7.56227135E-06
0.082,0.0795,+7.45431294E-02,+7.45262771E-02,+7.45542647E-02,+9.23780923E-06
0.083,0.0804,+7.55540641E-02,+7.55350251E-02,+7.55663712E-02,+1.10408300E-05
0.084,0.0815,+7.65851649E-02,+7.65672080E-02,+7.65979944E-02,+1.07082182E-05
0.085,0.0825,+7.75955026E-02,+7.75799489E-02,+7.76149521E-02,+1.30682145E-05
0.086,0.0837,+7.86283759E-02,+7.86074300E-02,+7.86427317E-02,+1.05973306E-05
0.087,0.0845,+7.96325451E-02,+7.96170736E-02,+7.96486809E-02,+8.80879389E-06
0.088,0.0856,+8.06498088E-02,+8.06327252E-02,+8.06624667E-02,+8.06364019E-06
0.089,0.0867,+8.17026317E-02,+8.16889028E-02,+8.17105466E-02,+6.43823559E-06
0.090,0.0877,+8.27711948E-02,+8.27631045E-02,+8.27807180E-02,+5.01476822E-06
0.091,0.0888,+8.37969667E-02,+8.37909960E-02,+8.38017433E-02,+3.30981377E-06
0.092,0.0897,+8.48108271E-02,+8.48067223E-02,+8.48188129E-02,+3.45304546E-06
0.093,0.0907,+8.58137873E-02,+8.57998718E-02,+8.58245755E-02,+7.03784448E-06
0.094,0.0917,+8.68589042E-02,+8.68409362E-02,+8.68799322E-02,+1.00411798E-05
0.095,0.0928,+8.79124286E-02,+8.79006589E-02,+8.79290943E-02,+1.14200681E-05
0.096,0.0939,+8.89127804E-02,+8.88885468E-02,+8.89315731E-02,+1.51994091E-05
0.097,0.0949,+8.99551918E-02,+8.99416645E-02,+8.99699133E-02,+8.53355156E-06
0.098,0.0955,+9.04660739E-02,+9.04495836E-02,+9.04801087E-02,+8.77045758E-06
0.099,0.0970,+9.20628117E-02,+9.20397275E-02,+9.20850301E-02,+1.34825917E-05
0.100,0.0980,+9.30859789E-02,+9.30719851E-02,+9.30969500E-02,+7.77795463E-06
0.101,0.0986,+9.35810274E-02,+9.35646789E-02,+9.35968087E-02,+9.38228691E-06
0.102,0.1000,+9.51212227E-02,+9.51000790E-02,+9.51422843E-02,+1.35426316E-05
0.103,0.1006,+9.56235741E-02,+9.56114313E-02,+9.56362096E-02,+7.18100316E-06
0.104,0.1022,+9.72134494E-02,+9.71945969E-02,+9.72313913E-02,+1.24791652E-05
0.105,0.1027,+9.77091435E-02,+9.76943436E-02,+9.77288243E-02,+1.03266098E-05
0.106,0.1036,+9.87411883E-02,+9.87190632E-02,+9.87569024E-02,+1.23678678E-05
0.107,0.1048,+9.97810399E-02,+9.97708002E-02,+9.97943097E-02,+6.73322249E-06
0.108,0.1057,+1.00816813E-01,+1.00807237E-01,+1.00825000E-01,+4.66039604E-06
0.109,0.1069,+1.01799976E-01,+1.01789416E-01,+1.01814194E-01,+8.04751520E-06
0.110,0.1077,+1.02816460E-01,+1.02794693E-01,+1.02841041E-01,+1.24447507E-05
