Time (seconds),Relative Humidity %,Celsius,Fahrenheit
1522724118,47.43,24.82,76.67
1522724119,47.43,24.82,76.67
1522724120,47.43,24.82,76.67
1522724121,47.43,24.82,76.67
1522724122,47.43,24.82,76.67
1522724123,47.43,24.82,76.67
1522724124,47.43,24.82,76.67
1522724125,47.43,24.82,76.67
1522724126,47.43,24.82,76.67
1522724127,47.43,24.82,76.67
1522724128,47.43,24.82,76.67
1522724129,47.43,24.82,76.67
1522724130,47.43,24.82,76.67
1522724131,47.43,24.82,76.67
1522724132,47.43,24.82,76.67
1522724133,47.43,24.82,76.67
1522724134,47.43,24.82,76.67
1522724135,47.43,24.82,76.67
1522724136,47.43,24.82,76.67
1522724137,47.43,24.82,76.67
1522724138,47.43,24.82,76.67
1522724139,47.43,24.82,76.67
1522724140,47.43,24.82,76.67
1522724141,47.43,24.82,76.67
1522724142,47.43,24.82,76.67
1522724143,47.43,24.82,76.67
1522724144,47.43,24.82,76.67
1522724145,47.43,24.82,76.67
1522724146,47.43,24.82,76.67
1522724147,47.43,24.82,76.67
1522724148,47.43,24.82,76.67
1522724149,47.43,24.82,76.67
1522724150,47.43,24.82,76.67
1522724151,47.43,24.82,76.67
1522724152,47.43,24.82,76.67
1522724153,47.43,24.82,76.67
1522724154,47.43,24.82,76.67
1522724155,47.43,24.82,76.67
1522724156,47.43,24.82,76.67
1522724157,47.43,24.82,76.67
1522724158,47.43,24.82,76.67
1522724159,47.43,24.82,76.67
1522724160,47.43,24.82,76.67
1522724161,47.43,24.82,76.67
1522724162,47.43,24.82,76.67
1522724163,47.43,24.82,76.67
1522724164,47.43,24.82,76.67
1522724165,47.43,24.82,76.67
1522724166,47.43,24.82,76.67
1522724167,47.43,24.82,76.67
1522724168,47.43,24.82,76.67
1522724169,47.43,24.82,76.67
1522724170,47.43,24.82,76.67
1522724171,47.43,24.82,76.67
1522724172,47.43,24.82,76.67
1522724173,47.43,24.82,76.67
1522724174,47.43,24.82,76.67
1522724175,47.43,24.82,76.67
1522724176,47.43,24.82,76.67
1522724177,47.43,24.82,76.67
1522724178,47.43,24.82,76.67
1522724179,47.43,24.82,76.67
1522724180,47.43,24.82,76.67
1522724181,47.43,24.82,76.67
1522724182,47.43,24.82,76.67
1522724183,47.43,24.82,76.67
1522724184,47.43,24.82,76.67
1522724185,47.43,24.82,76.67
1522724186,47.43,24.82,76.67
1522724187,47.43,24.82,76.67
1522724188,47.43,24.82,76.67
1522724189,47.43,24.82,76.67
1522724190,47.43,24.82,76.67
1522724191,47.43,24.82,76.67
1522724192,47.43,24.82,76.67
1522724193,47.43,24.82,76.67
1522724194,47.43,24.82,76.67
1522724195,47.43,24.82,76.67
1522724196,47.43,24.82,76.67
1522724197,47.43,24.82,76.67
1522724198,47.43,24.82,76.67
1522724199,47.43,24.82,76.67
1522724200,47.43,24.82,76.67
1522724201,47.43,24.82,76.67
1522724202,47.43,24.82,76.67
1522724203,47.43,24.82,76.67
1522724204,47.43,24.82,76.67
1522724205,47.43,24.82,76.67
1522724206,47.43,24.82,76.67
1522724207,47.43,24.82,76.67
1522724208,47.43,24.82,76.67
1522724209,47.43,24.82,76.67
1522724210,47.43,24.82,76.67
1522724211,47.43,24.82,76.67
1522724212,47.43,24.82,76.67
1522724213,47.43,24.82,76.67
1522724214,47.43,24.82,76.67
1522724215,47.43,24.82,76.67
1522724216,47.43,24.82,76.67
1522724217,47.43,24.82,76.67
1522724218,47.43,24.82,76.67
1522724219,47.43,24.82,76.67
1522724220,47.43,24.82,76.67
1522724221,47.43,24.82,76.67
1522724223,47.43,24.82,76.67
1522724224,47.43,24.82,76.67
1522724225,47.43,24.82,76.67
1522724226,47.43,24.82,76.67
1522724227,47.43,24.82,76.67
1522724228,47.43,24.82,76.67
1522724229,47.43,24.82,76.67
