SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.000,0.0045,-1.77297386E-03,-1.78387410E-03,-1.76443204E-03,+5.37513505E-06
0.010,0.0144,+8.09265764E-03,+8.08642200E-03,+8.09978142E-03,+4.44594823E-06
0.020,0.0248,+1.84145804E-02,+1.84043332E-02,+1.84327313E-02,+7.91890834E-06
0.030,0.0345,+2.81728067E-02,+2.81595443E-02,+2.81852556E-02,+8.01705773E-06
0.040,0.0443,+3.79828996E-02,+3.79742757E-02,+3.79915907E-02,+5.32455951E-06
0.050,0.0547,+4.83638016E-02,+4.83523043E-02,+4.83737241E-02,+8.18963186E-06
0.060,0.0646,+5.81989340E-02,+5.81917394E-02,+5.82075617E-02,+5.10651064E-06
0.070,0.0749,+6.85527515E-02,+6.85419296E-02,+6.85624912E-02,+5.55962846E-06
0.080,0.0847,+7.83627213E-02,+7.83556908E-02,+7.83695353E-02,+4.89767135E-06
0.090,0.0950,+8.86697285E-02,+8.86611382E-02,+8.86761769E-02,+5.73212907E-06
0.100,0.1048,+9.84836053E-02,+9.84727349E-02,+9.84963938E-02,+8.96506416E-06
0.110,0.1152,+1.08803248E-01,+1.08792176E-01,+1.08813783E-01,+7.51288598E-06
0.120,0.1250,+1.18613404E-01,+1.18594145E-01,+1.18631537E-01,+1.26554440E-05
0.130,0.1348,+1.28416590E-01,+1.28389397E-01,+1.28432573E-01,+1.21377421E-05
0.140,0.1451,+1.38770956E-01,+1.38762052E-01,+1.38781420E-01,+5.90083014E-06
0.150,0.1548,+1.48576201E-01,+1.48563200E-01,+1.48590143E-01,+1.00751408E-05
0.160,0.1651,+1.58819931E-01,+1.58811404E-01,+1.58830099E-01,+5.33845018E-06
0.170,0.1750,+1.68640226E-01,+1.68618709E-01,+1.68650652E-01,+8.71748476E-06
0.180,0.1852,+1.78929523E-01,+1.78918036E-01,+1.78938411E-01,+7.04151067E-06
0.190,0.1951,+1.88736276E-01,+1.88725715E-01,+1.88743963E-01,+7.20082811E-06
0.200,0.2054,+1.99090306E-01,+1.99079376E-01,+1.99100310E-01,+6.35147958E-06
0.210,0.2153,+2.08904268E-01,+2.08895040E-01,+2.08920826E-01,+6.94345595E-06
0.220,0.2255,+2.19222034E-01,+2.19207913E-01,+2.19232729E-01,+7.69059859E-06
0.230,0.2354,+2.29049505E-01,+2.29044139E-01,+2.29055596E-01,+4.16328734E-06
0.240,0.2452,+2.38860863E-01,+2.38852489E-01,+2.38870140E-01,+5.11014584E-06
0.250,0.2554,+2.49195811E-01,+2.49188081E-01,+2.49215344E-01,+7.24703837E-06
0.260,0.2654,+2.59060528E-01,+2.59050192E-01,+2.59067268E-01,+6.13276135E-06
0.270,0.2758,+2.69370611E-01,+2.69359886E-01,+2.69379359E-01,+6.37747830E-06
0.280,0.2855,+2.79158693E-01,+2.79147998E-01,+2.79169269E-01,+5.38265518E-06
0.290,0.2957,+2.89392502E-01,+2.89378002E-01,+2.89407960E-01,+1.05036811E-05
0.300,0.3054,+2.99126718E-01,+2.99118779E-01,+2.99134957E-01,+5.20497982E-06
0.310,0.3146,+3.08298670E-01,+3.08288244E-01,+3.08312511E-01,+6.70138308E-06
0.320,0.3256,+3.19326354E-01,+3.19317546E-01,+3.19339416E-01,+6.32150261E-06
0.330,0.3354,+3.29046281E-01,+3.29031960E-01,+3.29056527E-01,+7.09180609E-06
0.340,0.3456,+3.39237158E-01,+3.39224815E-01,+3.39248782E-01,+7.05500843E-06
0.350,0.3554,+3.48984557E-01,+3.48979673E-01,+3.48995552E-01,+4.90819827E-06
0.360,0.3650,+3.58791184E-01,+3.58785162E-01,+3.58799842E-01,+4.24410145E-06
0.370,0.3756,+3.69204115E-01,+3.69191023E-01,+3.69214990E-01,+7.15009865E-06
0.380,0.3853,+3.78949507E-01,+3.78940789E-01,+3.78954270E-01,+3.98450753E-06
0.390,0.3956,+3.89234215E-01,+3.89225617E-01,+3.89242993E-01,+5.74403041E-06
0.400,0.4053,+3.99004412E-01,+3.98992159E-01,+3.99015227E-01,+7.43368774E-06
0.410,0.4152,+4.08791596E-01,+4.08771883E-01,+4.08802441E-01,+1.04896555E-05
0.420,0.4254,+4.19106952E-01,+4.19095657E-01,+4.19116329E-01,+5.95877156E-06
0.430,0.4351,+4.28884069E-01,+4.28867292E-01,+4.28898150E-01,+9.08198576E-06
0.440,0.4450,+4.38670624E-01,+4.38662894E-01,+4.38679971E-01,+4.32029290E-06
0.450,0.4552,+4.48939454E-01,+4.48924954E-01,+4.48944127E-01,+5.25465369E-06
0.460,0.4650,+4.58713516E-01,+4.58708872E-01,+4.58723252E-01,+4.38719326E-06
0.470,0.4754,+4.68941182E-01,+4.68931686E-01,+4.68955053E-01,+7.54942189E-06
0.480,0.4850,+4.78735287E-01,+4.78725790E-01,+4.78750056E-01,+7.06677260E-06
0.490,0.4949,+4.88545659E-01,+4.88534274E-01,+4.88555545E-01,+6.86832410E-06
0.500,0.5051,+4.98813740E-01,+4.98802026E-01,+4.98830187E-01,+8.78199085E-06
0.510,0.5149,+5.08614525E-01,+5.08611409E-01,+5.08618299E-01,+2.08508462E-06
0.520,0.5247,+5.18401169E-01,+5.18391433E-01,+5.18413602E-01,+7.96051216E-06
0.530,0.5350,+5.28663768E-01,+5.28652593E-01,+5.28675362E-01,+7.53395180E-06
0.540,0.5447,+5.38409219E-01,+5.38399363E-01,+5.38416139E-01,+5.75713937E-06
0.550,0.5549,+5.48698960E-01,+5.48689583E-01,+5.48709356E-01,+5.55336211E-06
0.560,0.5649,+5.58516612E-01,+5.58498367E-01,+5.58536115E-01,+1.30466346E-05
0.570,0.5746,+5.68356343E-01,+5.68346996E-01,+5.68377554E-01,+9.61651780E-06
0.580,0.5849,+5.78674186E-01,+5.78665378E-01,+5.78682754E-01,+6.37521588E-06
0.590,0.5947,+5.88432759E-01,+5.88428625E-01,+5.88439410E-01,+3.24827371E-06
0.600,0.6044,+5.98154094E-01,+5.98149630E-01,+5.98158018E-01,+2.63718981E-06
0.610,0.6147,+6.08461810E-01,+6.08453631E-01,+6.08470408E-01,+5.36260682E-06
0.620,0.6246,+6.18309900E-01,+6.18296868E-01,+6.18323232E-01,+8.92976251E-06
0.630,0.6348,+6.28555901E-01,+6.28547543E-01,+6.28573607E-01,+7.17440620E-06
0.640,0.6446,+6.38342636E-01,+6.38326967E-01,+6.38353631E-01,+8.75804261E-06
0.650,0.6544,+6.48131258E-01,+6.48124667E-01,+6.48139346E-01,+4.60624274E-06
0.660,0.6646,+6.58441131E-01,+6.58433462E-01,+6.58446344E-01,+3.28235072E-06
0.670,0.6744,+6.68089786E-01,+6.68081667E-01,+6.68106233E-01,+7.76439514E-06
0.680,0.6841,+6.77900577E-01,+6.77889552E-01,+6.77904831E-01,+4.27435465E-06
0.690,0.6945,+6.88268391E-01,+6.88261860E-01,+6.88275940E-01,+4.35957658E-06
0.700,0.7044,+6.98047156E-01,+6.98034394E-01,+6.98070044E-01,+1.07811446E-05
0.710,0.7146,+7.08397863E-01,+7.08391722E-01,+7.08409397E-01,+5.68151594E-06
0.720,0.7243,+7.18099814E-01,+7.18089658E-01,+7.18111528E-01,+6.30622001E-06
0.730,0.7341,+7.27850478E-01,+7.27839723E-01,+7.27860095E-01,+6.69018993E-06
0.740,0.7444,+7.38158644E-01,+7.38148518E-01,+7.38165295E-01,+5.22487071E-06
0.750,0.7541,+7.47915300E-01,+7.47898883E-01,+7.47928841E-01,+9.40417938E-06
0.760,0.7646,+7.58316278E-01,+7.58296356E-01,+7.58337399E-01,+1.44996760E-05
0.770,0.7742,+7.68073863E-01,+7.68067392E-01,+7.68078776E-01,+3.75192775E-06
